soa11_name,soa11_code,lgd14_name,lgd14_code,Civic Assets score,Civic Assets rank,Connectedness score,Connectedness rank,Engaged Community score,Engaged Community rank,Community Needs Index score,Community Needs Index rank,Left Behind Area?
Aldergrove_1,95AA01S1,Antrim and Newtownabbey,N09000001,1.4652948379516602,8,0.41136735677719116,890,49.67610168457031,305,113.35265350341797,68,FALSE
Aldergrove_2,95AA01S2,Antrim and Newtownabbey,N09000001,1.4523366689682007,9,4.81157112121582,852,8.015362739562988,865,89.67662048339844,171,FALSE
Aldergrove_3,95AA01S3,Antrim and Newtownabbey,N09000001,0.4801729917526245,274,15.310349464416504,702,22.743375778198242,691,37.695960998535156,716,FALSE
Balloo,95AA02W1,Antrim and Newtownabbey,N09000001,-0.1557903289794922,528,85.544586181640625,103,25.84720230102539,632,67.26981353759766,370,FALSE
Ballycraigy,95AA03W1,Antrim and Newtownabbey,N09000001,0.41422712802886963,301,92.177154541015625,81,27.01475715637207,613,85.49266052246094,204,FALSE
Clady,95AA04W1,Antrim and Newtownabbey,N09000001,0.8068543076515198,135,2.039945363998413,884,12.910629272460937,828,43.77293395996094,644,FALSE
Cranfield,95AA05W1,Antrim and Newtownabbey,N09000001,1.0242886543273926,71,17.053503036499023,676,29.92247772216797,553,72.30791473388672,318,FALSE
Crumlin_1_(Antrim_LGD),95AA06S1,Antrim and Newtownabbey,N09000001,0.506838321685791,258,16.700342178344727,680,46.19292449951172,337,55.89872741699219,498,FALSE
Crumlin_2_(Antrim_LGD),95AA06S2,Antrim and Newtownabbey,N09000001,0.8011795878410339,138,9.80562686920166,779,63.33783721923828,188,79.29998016357422,250,FALSE
Drumanaway,95AA07W1,Antrim and Newtownabbey,N09000001,0.6403443813323975,209,25.269319534301758,565,28.10340690612793,592,52.066200256347656,536,FALSE
Farranshane,95AA08W1,Antrim and Newtownabbey,N09000001,-0.2688868045806885,577,60.587276458740234,229,6.194167613983154,873,40.78497314453125,685,FALSE
Fountain_Hill,95AA09W1,Antrim and Newtownabbey,N09000001,-0.22214868664741516,555,65.07635498046875,198,39.069053649902344,421,61.326255798339844,438,FALSE
Greystone_(Antrim_LGD),95AA10W1,Antrim and Newtownabbey,N09000001,0.41549572348594666,300,62.635433197021484,219,17.593067169189453,768,59.3359260559082,462,FALSE
